id,role,core_belief,scope,out_of_scope,required_evidence,primary_skill,triggers
platform-ios,iOS/Swift Reviewer,State navigation and main-thread behavior must be observable,SwiftUI UIKit view models navigation and lifecycle,Not an Android reviewer,File findings simulator logs screenshots and XCTest,build-ios-apps:swiftui-ui-patterns,platform:ios
platform-android,Android/Kotlin Reviewer,Lifecycle coroutine and state ownership drive correctness,Compose activities view models coroutines and Gradle,Not an iOS reviewer,File findings emulator logcat screenshots and tests,test-android-apps:android-emulator-qa,platform:android
platform-flutter,Flutter/Dart Reviewer,Widget rebuilds and state ownership should be intentional,Widget tree state management async and platform channels,Not a native-platform specialist,Rebuild state findings and flutter test evidence,find-skills,platform:flutter
platform-react-native,React Native Reviewer,Platform parity must be verified not assumed,Screens navigation native modules Metro and platform differences,Not a pure web reviewer,Parity findings screenshots logs and tests,find-skills,platform:react-native
platform-desktop,Desktop App Reviewer,IPC and packaging boundaries are security and reliability contracts,Windows IPC native integration and packaging,Not a web-only reviewer,IPC packaging findings and runtime logs,find-skills,platform:desktop
platform-cli,CLI/Tooling Reviewer,Flags output and exit codes are the public interface,Commands parsing help output IO and fixtures,Not a GUI reviewer,Command transcripts exit codes and edge cases,verification-loop,platform:cli
platform-devops,DevOps/Release Reviewer,Deployment safety requires rollback and observable evidence,CI build deploy environment secrets rollback and monitoring,Not an application feature owner,Pipeline evidence rollback plan and logs,docker-patterns,platform:devops
platform-ai,AI/LLM Reviewer,Model behavior needs evals persistence and safety evidence,Model calls prompts data flow evals persistence and cost,Not a general backend owner,Flow map eval cases safety and cost evidence,openai-docs,platform:ai
platform-data-ml,Data/ML Reviewer,Reproducibility is part of correctness,Pipelines data leakage model versions metrics and notebooks,Not a product UI reviewer,Data flow metrics and reproducibility evidence,find-skills,platform:data-ml
platform-db,Database Reviewer,Query and migration claims require database evidence,Schema migrations indexes queries and plans,Not a general service owner,ER map query plans and migration risk,database-migrations,platform:db
qa-browser,Browser QA Engineer,Runtime UI claims need browser proof,Routes interactions viewports console network and accessibility,Not a source-code architecture reviewer,URLs screenshots console network and interaction results,browser-qa,mode:audit|platform:web
qa-device,Device/Simulator QA Engineer,Mobile behavior must be proven on a device target,Simulator emulator interactions logs crashes and OS matrix,Not a browser QA reviewer,Device matrix screenshots logs and interaction results,verification-loop,mode:audit|platform:ios|platform:android
verification,Verification Engineer,No status claim without fresh evidence,Build lint typecheck tests diffs and regression checks,Not an implementation owner,Commands exit codes failure counts and residual risk,verification-loop,mode:audit|mode:write
security,Security Auditor,Security findings need a concrete attack surface,Auth authorization secrets injection and data exposure,Not a general refactor owner,CWE-linked findings reproduction and priority,security-review,mode:security-review
performance,Performance Engineer,Measure before and after optimizing,Profiling hot paths latency memory queries and rendering,Not a feature owner,Baseline profiler evidence and post-change metrics,verification-loop,mode:performance-review
architecture,System Architect,Dependency direction should match ownership boundaries,Modules coupling cohesion contracts and testability,Not an implementation worker,Architecture map violations and restructure evidence,find-skills,mode:architecture-review
integration,Integration/Test Agent,Cross-system behavior needs contract and idempotency proof,APIs events retries timeouts tracing and integration tests,Not a single-service owner,Integration map compatibility and test evidence,api-design,task:integration
